=== SUSPICIOUS FDs ===
Dégénérée : wall-motion-score, epss -> wall-motion-score
Dégénérée : wall-motion-score, survival, epss -> wall-motion-score
Dégénérée : wall-motion-score, survival, age-at-heart-attack -> wall-motion-score
Dégénérée : wall-motion-score, survival, age-at-heart-attack -> wall-motion-score
Dégénérée : pericardial-effusion, wall-motion-score, age-at-heart-attack -> wall-motion-score
Dégénérée : pericardial-effusion, wall-motion-score, age-at-heart-attack -> wall-motion-score
Dégénérée : pericardial-effusion, wall-motion-score, survival -> wall-motion-score
Dégénérée : still-alive, survival, epss -> still-alive
Dégénérée : still-alive, survival, epss -> still-alive
Dégénérée : wall-motion-score, age-at-heart-attack, fractional-shortening -> wall-motion-score
Dégénérée : pericardial-effusion, wall-motion-score, survival -> wall-motion-score
Dégénérée : wall-motion-score, epss, age-at-heart-attack -> wall-motion-score
Dégénérée : wall-motion-score, survival, fractional-shortening -> wall-motion-score
Dégénérée : wall-motion-score, fractional-shortening -> wall-motion-score
Dégénérée : wall-motion-score, survival, age-at-heart-attack -> wall-motion-score
Dégénérée : wall-motion-score, survival, age-at-heart-attack -> wall-motion-score
Dégénérée : still-alive, epss, age-at-heart-attack -> still-alive
Dégénérée : still-alive, epss, age-at-heart-attack -> still-alive
Dégénérée : wall-motion-score, epss, age-at-heart-attack -> wall-motion-score
Dégénérée : wall-motion-score, survival, epss -> wall-motion-score
Dégénérée : pericardial-effusion, wall-motion-score, age-at-heart-attack -> wall-motion-score
Dégénérée : pericardial-effusion, wall-motion-score, age-at-heart-attack -> wall-motion-score
Dégénérée : wall-motion-score, lvdd, epss -> wall-motion-score
Dégénérée : wall-motion-score, lvdd, epss -> wall-motion-score
Dégénérée : wall-motion-score, survival, fractional-shortening -> wall-motion-score
Dégénérée : wall-motion-score, age-at-heart-attack, fractional-shortening -> wall-motion-score
Dégénérée : wall-motion-score, survival -> wall-motion-score
Dégénérée : still-alive, wall-motion-score, survival -> still-alive
Dégénérée : wall-motion-score, survival, lvdd -> wall-motion-score
Dégénérée : still-alive, age-at-heart-attack, fractional-shortening -> still-alive
Dégénérée : wall-motion-score, lvdd, age-at-heart-attack -> wall-motion-score
Dégénérée : wall-motion-score, survival, lvdd -> wall-motion-score
Dégénérée : still-alive, wall-motion-score, fractional-shortening -> wall-motion-score
Dégénérée : wall-motion-score, lvdd, epss -> wall-motion-score
Dégénérée : still-alive, wall-motion-score, epss -> still-alive
Dégénérée : still-alive, pericardial-effusion, wall-motion-score -> still-alive
Dégénérée : wall-motion-score, lvdd, fractional-shortening -> wall-motion-score
Dégénérée : still-alive, wall-motion-score, epss -> wall-motion-score
Dégénérée : still-alive, pericardial-effusion, lvdd -> still-alive
Dégénérée : still-alive, pericardial-effusion, lvdd -> still-alive
Dégénérée : still-alive, wall-motion-score, epss -> still-alive
Dégénérée : still-alive, wall-motion-score, fractional-shortening -> wall-motion-score
Dégénérée : still-alive, pericardial-effusion, age-at-heart-attack -> still-alive
Dégénérée : still-alive, pericardial-effusion, age-at-heart-attack -> still-alive
Dégénérée : still-alive, wall-motion-score, epss -> wall-motion-score
Dégénérée : still-alive, lvdd, epss -> still-alive
Dégénérée : wall-motion-score, lvdd, fractional-shortening -> wall-motion-score
Dégénérée : still-alive, survival, lvdd -> still-alive
Dégénérée : still-alive, epss, age-at-heart-attack -> still-alive
Dégénérée : still-alive, epss, age-at-heart-attack -> still-alive
Dégénérée : still-alive, survival, fractional-shortening -> still-alive
Dégénérée : still-alive, survival, fractional-shortening -> still-alive
Dégénérée : still-alive, lvdd, epss -> still-alive
Dégénérée : wall-motion-score, survival, lvdd -> wall-motion-score
Dégénérée : still-alive, pericardial-effusion, survival -> still-alive
Dégénérée : still-alive, wall-motion-score, fractional-shortening -> wall-motion-score
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> survival
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> age-at-heart-attack
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> still-alive
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> lvdd
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> wall-motion-score
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> still-alive
LHS très large : pericardial-effusion, wall-motion-score, epss, fractional-shortening -> survival
LHS très large : pericardial-effusion, wall-motion-score, epss, fractional-shortening -> still-alive
LHS très large : pericardial-effusion, wall-motion-score, epss, fractional-shortening -> age-at-heart-attack
LHS très large : pericardial-effusion, wall-motion-score, epss, fractional-shortening -> lvdd
LHS très large : pericardial-effusion, wall-motion-score, epss, fractional-shortening -> wall-motion-score
LHS très large : still-alive, wall-motion-score, lvdd, epss -> survival
LHS très large : still-alive, wall-motion-score, lvdd, epss -> age-at-heart-attack
LHS très large : still-alive, wall-motion-score, lvdd, epss -> wall-motion-score
LHS très large : still-alive, wall-motion-score, lvdd, fractional-shortening -> survival
LHS très large : still-alive, wall-motion-score, lvdd, fractional-shortening -> still-alive
LHS très large : still-alive, wall-motion-score, lvdd, fractional-shortening -> age-at-heart-attack
LHS très large : still-alive, wall-motion-score, lvdd, fractional-shortening -> wall-motion-score
LHS très large : still-alive, pericardial-effusion, lvdd, epss -> survival
LHS très large : still-alive, pericardial-effusion, lvdd, epss -> age-at-heart-attack
LHS très large : pericardial-effusion, wall-motion-score, lvdd, fractional-shortening -> survival
LHS très large : pericardial-effusion, wall-motion-score, lvdd, fractional-shortening -> still-alive
LHS très large : pericardial-effusion, wall-motion-score, lvdd, fractional-shortening -> age-at-heart-attack
LHS très large : still-alive, wall-motion-score, lvdd, epss -> survival
LHS très large : still-alive, wall-motion-score, lvdd, epss -> age-at-heart-attack
LHS très large : still-alive, wall-motion-score, lvdd, epss -> still-alive
LHS très large : still-alive, wall-motion-score, lvdd, epss -> wall-motion-score
LHS très large : still-alive, pericardial-effusion, survival, fractional-shortening -> age-at-heart-attack
LHS très large : still-alive, pericardial-effusion, survival, fractional-shortening -> lvdd
LHS très large : still-alive, pericardial-effusion, survival, fractional-shortening -> wall-motion-score
LHS très large : still-alive, pericardial-effusion, survival, fractional-shortening -> wall-motion-score
LHS très large : still-alive, pericardial-effusion, wall-motion-score, epss -> survival
LHS très large : still-alive, pericardial-effusion, wall-motion-score, epss -> age-at-heart-attack
LHS très large : still-alive, pericardial-effusion, wall-motion-score, epss -> fractional-shortening
LHS très large : still-alive, pericardial-effusion, wall-motion-score, epss -> lvdd
LHS très large : still-alive, pericardial-effusion, wall-motion-score, epss -> wall-motion-score
Dégénérée : still-alive, pericardial-effusion, fractional-shortening -> still-alive
LHS très large : still-alive, wall-motion-score, epss, fractional-shortening -> survival
LHS très large : still-alive, wall-motion-score, epss, fractional-shortening -> still-alive
LHS très large : still-alive, wall-motion-score, epss, fractional-shortening -> age-at-heart-attack
LHS très large : still-alive, wall-motion-score, epss, fractional-shortening -> pericardial-effusion
LHS très large : still-alive, wall-motion-score, epss, fractional-shortening -> lvdd
LHS très large : still-alive, wall-motion-score, epss, fractional-shortening -> wall-motion-score
LHS très large : still-alive, wall-motion-score, epss, fractional-shortening -> still-alive
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> survival
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> age-at-heart-attack
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> still-alive
LHS très large : still-alive, pericardial-effusion, wall-motion-score, fractional-shortening -> wall-motion-score
